Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Game Name,*C:Platform,C:Publisher,C:Genre,C:Rating,C:Region Code,C:Release Year,C:MPN,C:Unit Quantity,C:Unit Type,C:Video Game Series,C:Features,C:Country of Origin,C:Sub-Genre,C:California Prop 65 Warning,C:Manufacturer Warranty,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,,139973,,6IV Shiny Cyclizar Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Cyclizar.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY CYCLIZAR 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Morpeko Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Morpeko.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY MORPEKO 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Kecleon Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Kecleon.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY KECLEON 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Crobat Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Crobat.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY CROBAT 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Indeedee Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Indeedee.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY INDEEDEE 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Dondozo Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Dondozo.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY DONDOZO 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Runerigus Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Runerigus.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY RUNERIGUS 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Golisopod Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Golisopod.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GOLISOPOD 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Frigibax Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Frigibax.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY FRIGIBAX 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,139973,,6IV Shiny Golett Legends ZA MEGA DIMENSION DLC (Legends Z-A) - CUSTOM OT,,,,,1000,Pokémon Legends: Z-A,Nintendo Switch,,,,,,,,,,,,,,,D:\chromedownload\批量产图\output\output_Golett.png|D:\chromedownload\批量产图\Gemini_Generated_Image_5sh1k65sh1k65sh1.png,,,"<h1>SHINY GOLETT 6IV + FREE MASTERBALL GIFT</h1>
<p>Purchasing the DLC is not required; trades can also be made with players who do not own it.</p>
<p><strong>How to trade in Pokémon Legends Z-A:</strong></p>
<p>Press ""+"" and select ""Begin Searching"".</p>",FixedPrice,GTC,4.49,,,,,10,,China,,,,,,3,,,ReturnsNotAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
